INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_DESCRIPTION,DISTRICT,NEIGHBORHOOD,STREET,OCCURRED_ON_DATE,YEAR,MONTH,MONTH_YEAR,DAY_OF_WEEK,HOUR,TIME_OF_DAY,SEASON,IS_WEEKEND,Lat,Long
242016735,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,Mattapan,NORFOLK ST,2024-02-29 14:24:00,2024,2,2024-02,Thursday,14,Afternoon,Winter,0,42.28287754208362,-71.0847448893106
242016715,1832,SICK ASSIST - DRUG RELATED ILLNESS,C6,South Boston,MASSACHUSETTS AVE,2024-02-29 13:33:00,2024,2,2024-02,Thursday,13,Afternoon,Winter,0,42.33213268528189,-71.07131032052902
242016820,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,MASSACHUSETTS AVE,2024-02-29 19:46:00,2024,2,2024-02,Thursday,19,Evening,Winter,0,42.33331284849899,-71.07322931598564
232054327,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2023-07-10 15:57:00,2023,7,2023-07,Monday,15,Afternoon,Summer,0,42.34128750439044,-71.05467932649397
232054333,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D14,Brighton/Allston,WASHINGTON ST,2023-07-10 00:00:00,2023,7,2023-07,Monday,0,Late Night,Summer,0,42.34905600030505,-71.15049849975023
232031883,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,DORCHESTER AVE,2023-04-25 15:01:00,2023,4,2023-04,Tuesday,15,Afternoon,Spring,0,42.29768953838805,-71.06090954029862
232077419,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,TREMONT ST,2023-09-25 11:20:00,2023,9,2023-09,Monday,11,Morning,Fall,0,42.35540737516959,-71.06312432552214
242065569,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,Roxbury,ISLAND ST,2024-08-07 16:01:00,2024,8,2024-08,Wednesday,16,Afternoon,Summer,0,42.33120325895232,-71.07122093372423
242067114,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,GIBSON ST,2024-08-12 19:42:00,2024,8,2024-08,Monday,19,Evening,Summer,0,42.29755532959654,-71.05970910242573
242067117,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E5,West Roxbury,CENTRE ST,2024-08-12 07:30:00,2024,8,2024-08,Monday,7,Morning,Summer,0,42.287093552591074,-71.14822128377165
232028377,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,GIBSON ST,2023-04-12 21:23:00,2023,4,2023-04,Wednesday,21,Night,Spring,0,42.29755532959654,-71.05970910242573
232032479,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,HANCOCK ST,2023-04-27 16:00:00,2023,4,2023-04,Thursday,16,Afternoon,Spring,0,42.3104339974624,-71.06134009762133
232032563,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A7,East Boston,"BORDER ST & DECATUR ST
EAST BOSTON, MA 02128
UNITE",2023-04-27 20:07:00,2023,4,2023-04,Thursday,20,Evening,Spring,0,42.37300196199792,-71.0411799713915
232032934,1832,SICK ASSIST - DRUG RELATED ILLNESS,B2,Roxbury,RUTHVEN ST,2023-04-29 03:08:00,2023,4,2023-04,Saturday,3,Late Night,Spring,1,42.31202046889744,-71.08851632245981
232032716,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,Mattapan,BLUE HILL AVE,2023-04-28 00:00:00,2023,4,2023-04,Friday,0,Late Night,Spring,0,42.28482576580487,-71.09137368938802
232081045,1832,SICK ASSIST - DRUG RELATED ILLNESS,A1,Downtown/Beacon Hill,"SUMMER ST & KINGSTON ST
BOSTON, MA 02110
UNITED ST",2023-10-06 22:48:00,2023,10,2023-10,Friday,22,Night,Fall,0,42.35408396605115,-71.0586359932009
232025540,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,BOYLSTON ST,2023-04-02 23:13:00,2023,4,2023-04,Sunday,23,Night,Spring,1,42.34862381555496,-71.08277637086411
242055750,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,WINTER PL,2024-07-07 17:35:00,2024,7,2024-07,Sunday,17,Afternoon,Summer,1,42.3556540999799,-71.06143259018704
242016559,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,South End/Fenway,NORTHAMPTON ST,2024-02-28 22:07:00,2024,2,2024-02,Wednesday,22,Night,Winter,0,42.337296917032326,-71.07919582224035
232080501,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,DAKOTA ST,2023-10-05 11:54:00,2023,10,2023-10,Thursday,11,Morning,Fall,0,42.30016543254114,-71.06685369645953
232080955,1832,SICK ASSIST - DRUG RELATED ILLNESS,C11,Dorchester,NEPONSET AVE,2023-10-06 16:52:00,2023,10,2023-10,Friday,16,Afternoon,Fall,0,42.28524466756344,-71.04079116476858
242017314,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,GIBSON ST,2024-03-02 13:52:00,2024,3,2024-03,Saturday,13,Afternoon,Spring,1,42.29755532959654,-71.05970910242573
242017347,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,South End/Fenway,"MASSACHUSETTS AVE & HARRISON AVE
BOSTON, MA 02118
",2024-03-02 12:38:00,2024,3,2024-03,Saturday,12,Afternoon,Spring,1,42.334914962732086,-71.07518494048284
232029845,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E13,Jamaica Plain,"LAMARTINE ST & CENTRE ST
BOSTON, MA 02130
UNITED S",2023-04-17 20:48:00,2023,4,2023-04,Monday,20,Evening,Spring,0,42.32280301276144,-71.10059494108032
242014692,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2024-02-22 20:01:00,2024,2,2024-02,Thursday,20,Evening,Winter,0,42.34128750439044,-71.05467932649397
242017091,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,Roxbury,WARREN ST,2024-03-01 17:43:00,2024,3,2024-03,Friday,17,Afternoon,Spring,0,42.32978736584396,-71.08324801319625
242017055,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,Roxbury,ROXBURY ST,2024-03-01 16:58:00,2024,3,2024-03,Friday,16,Afternoon,Spring,0,42.32952035449149,-71.08530640838333
242017074,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2024-03-01 15:38:00,2024,3,2024-03,Friday,15,Afternoon,Spring,0,42.34128750439044,-71.05467932649397
232080769,1832,SICK ASSIST - DRUG RELATED ILLNESS,C11,Dorchester,DORCHESTER AVE,2023-10-06 06:01:00,2023,10,2023-10,Friday,6,Morning,Fall,0,42.27673597912276,-71.06683537072487
232081187,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2023-10-07 13:54:00,2023,10,2023-10,Saturday,13,Afternoon,Fall,1,42.34128750439044,-71.05467932649397
232081241,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D14,Brighton/Allston,"N BEACON ST & EVERETT ST
BRIGHTON, MA 02134
UNITED",2023-10-07 16:47:00,2023,10,2023-10,Saturday,16,Afternoon,Fall,1,42.35379400067865,-71.13905997429498
232026560,1832,SICK ASSIST - DRUG RELATED ILLNESS,A1,Downtown/Beacon Hill,WASHINGTON ST,2023-04-06 14:56:00,2023,4,2023-04,Thursday,14,Afternoon,Spring,0,42.356486304602974,-71.05928144939367
232026923,1832,SICK ASSIST - DRUG RELATED ILLNESS,C11,Dorchester,WHITTEN ST,2023-04-07 16:58:00,2023,4,2023-04,Friday,16,Afternoon,Spring,0,42.293755001275954,-71.05789108610549
232026946,1832,SICK ASSIST - DRUG RELATED ILLNESS,A7,East Boston,MONSIGNOR ALBERT A. JACOBBE RD,2023-04-07 18:14:00,2023,4,2023-04,Friday,18,Evening,Spring,0,42.36856801861524,-71.04121708085367
242017386,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,TREMONT ST,2024-03-02 18:00:00,2024,3,2024-03,Saturday,18,Evening,Spring,1,42.35428377241487,-71.06380403747467
242017275,1832,SICK ASSIST - DRUG RELATED ILLNESS,C11,Dorchester,MELVILLE AVE,2024-03-02 11:16:00,2024,3,2024-03,Saturday,11,Morning,Spring,1,42.29380964120642,-71.07001148286703
242017102,1832,SICK ASSIST - DRUG RELATED ILLNESS,A1,Downtown/Beacon Hill,LEGENDS WAY,2024-03-01 17:49:00,2024,3,2024-03,Friday,17,Afternoon,Spring,0,42.36643546331781,-71.06135412537031
242017106,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,HUNTINGTON AVE,2024-03-01 18:23:00,2024,3,2024-03,Friday,18,Evening,Spring,0,42.34091585752876,-71.08771530859775
242057834,1832,SICK ASSIST - DRUG RELATED ILLNESS,E13,Jamaica Plain,AMORY ST,2024-07-14 13:05:00,2024,7,2024-07,Sunday,13,Afternoon,Summer,1,42.3199332862729,-71.09941432092833
232105253,1832,SICK ASSIST - DRUG RELATED ILLNESS,E5,West Roxbury,HARRISON ST,2023-12-27 00:57:00,2023,12,2023-12,Wednesday,0,Late Night,Winter,0,42.28862856530249,-71.12002156567831
252098348,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,WASHINGTON ST,2025-11-19 14:42:00,2025,11,2025-11,Wednesday,14,Afternoon,Fall,0,42.33721215410986,-71.07597603259629
252098313,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,Roxbury,"E COTTAGE ST & DUDLEY ST
DORCHESTER, MA 02119
UNIT",2025-11-19 14:12:00,2025,11,2025-11,Wednesday,14,Afternoon,Fall,0,42.32136500106598,-71.07220704951933
232105487,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,TREMONT ST,2023-12-27 20:49:00,2023,12,2023-12,Wednesday,20,Evening,Winter,0,42.35594238717984,-71.06258333167791
252098309,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E18,Hyde Park,HYDE PARK AVE,2025-11-19 00:00:00,2025,11,2025-11,Wednesday,0,Late Night,Fall,0,42.25621592040215,-71.12401947329023
252098644,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2025-11-20 07:30:00,2025,11,2025-11,Thursday,7,Morning,Fall,0,42.34128750439044,-71.05467932649397
232105503,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A7,East Boston,SARATOGA ST,2023-12-27 22:00:00,2023,12,2023-12,Wednesday,22,Night,Winter,0,42.38648845372973,-71.00986750810203
232105739,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,Roxbury,"WASHINGTON ST & ROXBURY ST
ROXBURY, MA 02119
UNITE",2023-12-28 20:15:00,2023,12,2023-12,Thursday,20,Evening,Winter,0,42.32960898797933,-71.08462103764323
242006939,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,"BOYLSTON ST & WASHINGTON ST
BOSTON, MA 02116
UNITE",2024-01-26 11:08:00,2024,1,2024-01,Friday,11,Morning,Winter,0,42.352389968254734,-71.06259205782331
252098401,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A7,East Boston,MAVERICK ST,2025-11-19 19:24:00,2025,11,2025-11,Wednesday,19,Evening,Fall,0,42.37059084590212,-71.03994313872339
252098234,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,"TEMPLE PL & WASHINGTON ST
BOSTON, MA 02111
UNITED ",2025-11-19 12:20:00,2025,11,2025-11,Wednesday,12,Afternoon,Fall,0,42.35478999773885,-71.06122995591537
232103347,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,Mattapan,BLUE HILL AVE,2023-12-19 18:03:00,2023,12,2023-12,Tuesday,18,Evening,Winter,0,42.28482576580487,-71.09137368938802
232103013,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A7,East Boston,MAVERICK ST,2023-12-18 20:29:00,2023,12,2023-12,Monday,20,Evening,Winter,0,42.36950697119838,-71.03747222033135
232102946,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,HANCOCK ST,2023-12-18 17:29:00,2023,12,2023-12,Monday,17,Afternoon,Winter,0,42.3104339974624,-71.06134009762133
232102909,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2023-12-18 15:49:00,2023,12,2023-12,Monday,15,Afternoon,Winter,0,42.34128750439044,-71.05467932649397
232102989,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A7,East Boston,E EAGLE ST,2023-12-16 00:00:00,2023,12,2023-12,Saturday,0,Late Night,Winter,1,42.381325051436406,-71.02804009577999
232052882,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,Roxbury,"BURRELL ST & CLIFTON ST
ROXBURY, MA 02119
UNITED S",2023-07-05 16:43:00,2023,7,2023-07,Wednesday,16,Afternoon,Summer,0,42.32293300248227,-71.07076997369252
232053141,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,Mattapan,BLUE HILL AVE,2023-07-06 00:00:00,2023,7,2023-07,Thursday,0,Late Night,Summer,0,42.28482576580487,-71.09137368938802
232032296,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,TREMONT ST,2023-04-27 00:27:00,2023,4,2023-04,Thursday,0,Late Night,Spring,0,42.344701357944174,-71.0703760849388
232053458,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,TEMPLE PL,2023-07-07 00:00:00,2023,7,2023-07,Friday,0,Late Night,Summer,0,42.35521428732261,-71.06206350909659
232053563,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,"BOWDOIN ST & HAMILTON ST
DORCHESTER, MA 02125
UNIT",2023-07-07 20:00:00,2023,7,2023-07,Friday,20,Evening,Summer,0,42.3062440247822,-71.06701197166356
232053218,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,South End/Fenway,SHAWMUT AVE,2023-07-06 18:41:00,2023,7,2023-07,Thursday,18,Evening,Summer,0,42.33543394019406,-71.08076738280505
232051714,1832,SICK ASSIST - DRUG RELATED ILLNESS,A1,Downtown/Beacon Hill,ARCH ST,2023-07-01 09:45:00,2023,7,2023-07,Saturday,9,Morning,Summer,1,42.3563139089315,-71.05778101299677
232033948,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,BOWDOIN ST,2023-05-02 17:15:00,2023,5,2023-05,Tuesday,17,Afternoon,Spring,0,42.36038172517122,-71.06285768482353
232051993,1832,SICK ASSIST - DRUG RELATED ILLNESS,A7,East Boston,ORLEANS ST,2023-07-02 08:03:00,2023,7,2023-07,Sunday,8,Morning,Summer,1,42.36901261190326,-71.03725425714282
232052885,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,"AGASSIZ RD & FENWAY
BOSTON, MA 02115
UNITED STATES",2023-07-05 16:35:00,2023,7,2023-07,Wednesday,16,Afternoon,Summer,0,42.34332096302871,-71.09134398551095
232018867,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,South End/Fenway,HARRISON AVE,2023-03-11 13:04:00,2023,3,2023-03,Saturday,13,Afternoon,Spring,1,42.33954198983015,-71.06940876967543
232053131,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,CITY HALL PLZ,2023-07-06 14:08:00,2023,7,2023-07,Thursday,14,Afternoon,Summer,0,42.35972136485404,-71.05852360114129
232053025,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,"WORCESTER SQ & HARRISON AVE
BOSTON, MA 02118
UNITE",2023-07-06 06:17:00,2023,7,2023-07,Thursday,6,Morning,Summer,0,42.33598001935497,-71.07382503894691
232053225,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E13,Jamaica Plain,WASHINGTON ST,2023-07-06 16:00:00,2023,7,2023-07,Thursday,16,Afternoon,Summer,0,42.309718567672725,-71.10429431787648
232053292,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,GIBSON ST,2023-07-06 23:00:00,2023,7,2023-07,Thursday,23,Night,Summer,0,42.29755532959654,-71.05970910242573
232053219,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,ARCH ST,2023-07-06 18:43:00,2023,7,2023-07,Thursday,18,Evening,Summer,0,42.35487365146459,-71.05861218049148
232053152,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,SUMMER ST,2023-07-06 11:55:00,2023,7,2023-07,Thursday,11,Morning,Summer,0,42.35474967979447,-71.05951251232561
232053230,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,"ATKINSON ST & BRADSTON ST
ROXBURY, MA 02118
UNITED",2023-07-06 14:00:00,2023,7,2023-07,Thursday,14,Afternoon,Summer,0,42.33328895375212,-71.06818096650171
232018599,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,W BROADWAY,2023-03-10 00:00:00,2023,3,2023-03,Friday,0,Late Night,Spring,0,42.34128750439044,-71.05467932649397
232051027,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,Roxbury,HOWARD AVE,2023-06-29 06:28:00,2023,6,2023-06,Thursday,6,Morning,Summer,0,42.31685455520186,-71.07457616914428
232050772,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,Mattapan,WELLINGTON HILL ST & GILMER ST,2023-06-28 11:51:00,2023,6,2023-06,Wednesday,11,Morning,Summer,0,42.28257998032704,-71.09660001451466
232051202,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,HUNTINGTON AVE,2023-06-29 16:47:00,2023,6,2023-06,Thursday,16,Afternoon,Summer,0,42.3473097976345,-71.0791516658207
232051142,1832,SICK ASSIST - DRUG RELATED ILLNESS,B3,Mattapan,STURBRIDGE ST,2023-06-29 13:54:00,2023,6,2023-06,Thursday,13,Afternoon,Summer,0,42.27291354792878,-71.07456260424895
242018676,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E13,Jamaica Plain,WASHINGTON ST,2024-03-05 16:00:00,2024,3,2024-03,Tuesday,16,Afternoon,Spring,0,42.309718567672725,-71.10429431787648
242015619,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,Dorchester,GIBSON ST,2024-02-25 00:00:00,2024,2,2024-02,Sunday,0,Late Night,Winter,1,42.29755532959654,-71.05970910242573
242015567,1832,SICK ASSIST - DRUG RELATED ILLNESS,E5,West Roxbury,CONGREVE ST,2024-02-25 16:27:00,2024,2,2024-02,Sunday,16,Afternoon,Winter,1,42.28942827846901,-71.13835951190856
242016084,1832,SICK ASSIST - DRUG RELATED ILLNESS,C6,South Boston,ALLSTATE RD,2024-02-27 10:30:00,2024,2,2024-02,Tuesday,10,Morning,Winter,0,42.326142997537325,-71.0633826446263
242016187,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,South Boston,MERCER ST,2024-02-27 17:40:00,2024,2,2024-02,Tuesday,17,Afternoon,Winter,0,42.33043762206376,-71.05019449831576
242018602,1832,SICK ASSIST - DRUG RELATED ILLNESS,B2,Roxbury,HAMPDEN ST,2024-03-06 22:23:00,2024,3,2024-03,Wednesday,22,Night,Spring,0,42.3286884418685,-71.07505043644409
232051889,1832,SICK ASSIST - DRUG RELATED ILLNESS,E13,Jamaica Plain,"FOREST HILLS ST & WILLIAMS ST
JAMAICA PLAIN, MA 02",2023-07-01 00:00:00,2023,7,2023-07,Saturday,0,Late Night,Summer,1,42.30328801247128,-71.1037480308428
232051700,1832,SICK ASSIST - DRUG RELATED ILLNESS,D4,South End/Fenway,NORTHAMPTON ST,2023-07-01 08:25:00,2023,7,2023-07,Saturday,8,Morning,Summer,1,42.33665048239429,-71.07841035201858
242015770,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,South End/Fenway,MELNEA CASS BLVD,2024-02-26 11:30:00,2024,2,2024-02,Monday,11,Morning,Winter,0,42.331829609145,-71.0734727352688
242016005,1832,SICK ASSIST - DRUG RELATED ILLNESS,B2,Roxbury,RUTHVEN ST,2024-02-27 00:35:00,2024,2,2024-02,Tuesday,0,Late Night,Winter,0,42.31202046889744,-71.08851632245981
232051554,1810,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,Downtown/Beacon Hill,SUMMER ST,2023-06-30 18:51:00,2023,6,2023-06,Friday,18,Evening,Summer,0,42.35426247072012,-71.05883334162647
